,original_text,clean_text,sampa,pos,ipa
8296,destinan,destinan,destinan,VERB,destinan
8297,destinando,destinando,destinando,VERB,destinando
8298,destinaran,destinaran,destina4an,VERB,destinaɾan
8299,destinarlas,destinarlas,destina4las,VERB,destinaɾlas
8300,destinaron,destinaron,destina4on,VERB,destinaɾon
8301,destinatarias,destinatarias,destinata4jas,NOUN,destinataɾjas
8302,destinatarios,destinatarios,destinata4jos,NOUN,destinataɾjos
8303,destine,destine,destine,VERB,destine
8304,destinó,destinó,destino,VERB,destino
8305,destituido,destituido,destitwido,ADJ,destitwido
8306,destituidos,destituidos,destitwidos,ADJ,destitwidos
8307,destituir,destituir,destitwi4,VERB,destitwiɾ
8308,destreza,destreza,dest4esa,NOUN,destɾesa
8309,destrozan,destrozan,dest4osan,VERB,destɾosan
8310,destrozar,destrozar,dest4osa4,VERB,destɾosaɾ
8311,destrucciones,destrucciones,dest4uksiones,NOUN,destɾuksiones
8312,destructiva,destructiva,dest4uktiba,ADJ,destɾuktiba
8313,destructor,destructor,dest4ukto4,NOUN,destɾuktoɾ
8314,destructora,destructora,dest4ukto4a,ADJ,destɾuktoɾa
8315,destructores,destructores,dest4ukto4es,NOUN,destɾuktoɾes
8316,destruido,destruido,dest4wido,ADJ,destɾwido
8317,destruirla,destruirla,dest4wi4la,VERB,destɾwiɾla
8318,destruya,destruya,dest4uia,VERB,destɾuia
8319,destruyamos,destruyamos,dest4uiamos,VERB,destɾuiamos
8320,destruyan,destruyan,dest4uian,VERB,destɾuian
8321,destruye,destruye,dest4uie,INTJ,destɾuie
8322,destruyen,destruyen,dest4uien,VERB,destɾuien
8323,destruyendo,destruyendo,dest4uiendo,VERB,destɾuiendo
8324,desusada,desusada,desusada,ADJ,desusada
8325,desvalorizando,desvalorizando,desbalo4isando,VERB,desbaloɾisando
8326,desvanecería,desvanecería,desbanese4ja,VERB,desbaneseɾja
8327,desvanezcan,desvanezcan,desbaneskan,VERB,desbaneskan
8328,desvelan,desvelan,desbelan,VERB,desbelan
8329,desvelaría,desvelaría,desbela4ja,VERB,desbelaɾja
8330,desvelo,desvelo,desbelo,NOUN,desbelo
8331,desventajas,desventajas,desbentaxas,NOUN,desbentaxas
8332,desviacionistas,desviacionistas,desbjasionistas,ADJ,desbjasionistas
8333,desviado,desviado,desbjado,ADJ,desbjado
8334,desviar,desviar,desbja4,VERB,desbjaɾ
8335,desviarlos,desviarlos,desbja4los,VERB,desbjaɾlos
8336,desviarnos,desviarnos,desbja4nos,VERB,desbjaɾnos
8337,desviaría,desviaría,desbja4ja,VERB,desbjaɾja
8338,desvincula,desvincula,desbinkula,VERB,desbinkula
8339,desvincular,desvincular,desbinkula4,VERB,desbinkulaɾ
8340,desvirtuar,desvirtuar,desbi4twa4,VERB,desbiɾtwaɾ
8341,desviven,desviven,desbiben,VERB,desbiben
8342,desvivido,desvivido,desbibido,ADJ,desbibido
8343,desvió,desvió,desbjo,VERB,desbjo
8344,desvían,desvían,desbjan,VERB,desbjan
8345,desvíe,desvíe,desbje,VERB,desbje
8346,desvíen,desvíen,desbjen,VERB,desbjen
8347,desvío,desvío,desbjo,NOUN,desbjo
8348,desánimo,desánimo,desanimo,NOUN,desanimo
8349,desórdenes,desórdenes,deso4denes,NOUN,desoɾdenes
8350,detalla,detalla,detaj\a,VERB,detaʝa
8351,detalladamente,detalladamente,detaj\adamente,ADV,detaʝadamente
8352,detallar,detallar,detaj\a4,VERB,detaʝaɾ
8353,detallaremos,detallaremos,detaj\a4emos,VERB,detaʝaɾemos
8354,detallarlo,detallarlo,detaj\a4lo,VERB,detaʝaɾlo
8355,detallen,detallen,detaj\en,VERB,detaʝen
8356,detallistas,detallistas,detaj\istas,ADJ,detaʝistas
8357,detectamos,detectamos,detektamos,VERB,detektamos
8358,detectarse,detectarse,detekta4se,VERB,detektaɾse
8359,detectó,detectó,detekto,VERB,detekto
8360,detendrá,detendrá,detend4a,VERB,detendɾa
8361,detendría,detendría,detend4ja,VERB,detendɾja
8362,detenemos,detenemos,detenemos,VERB,detenemos
8363,detener,detener,detene4,VERB,deteneɾ
8364,detenernos,detenernos,detene4nos,VERB,deteneɾnos
8365,detenerse,detenerse,detene4se,VERB,deteneɾse
8366,detengamos,detengamos,detengamos,VERB,detenɡamos
8367,detengan,detengan,detengan,VERB,detenɡan
8368,detenta,detenta,detenta,PROPN,detenta
8369,detentadores,detentadores,detentado4es,NOUN,detentadoɾes
8370,deteriora,deteriora,dete4jo4a,VERB,deteɾjoɾa
8371,deterioración,deterioración,dete4jo4asion,NOUN,deteɾjoɾasion
8372,deteriorado,deteriorado,dete4jo4ado,ADJ,deteɾjoɾado
8373,deteriorarla,deteriorarla,dete4jo4a4la,VERB,deteɾjoɾaɾla
8374,deteriorarse,deteriorarse,dete4jo4a4se,VERB,deteɾjoɾaɾse
8375,deterioro,deterioro,dete4jo4o,NOUN,deteɾjoɾo
8376,deteriorándose,deteriorándose,dete4jo4andose,VERB,deteɾjoɾandose
8377,determinaba,determinaba,dete4minaba,VERB,deteɾminaba
8378,determinadas,determinadas,dete4minadas,ADJ,deteɾminadas
8379,determinadores,determinadores,dete4minado4es,NOUN,deteɾminadoɾes
8380,determinados,determinados,dete4minados,ADJ,deteɾminados
8381,determinaremos,determinaremos,dete4mina4emos,VERB,deteɾminaɾemos
8382,determinarlos,determinarlos,dete4mina4los,VERB,deteɾminaɾlos
8383,determinarse,determinarse,dete4mina4se,VERB,deteɾminaɾse
8384,determinarán,determinarán,dete4mina4an,VERB,deteɾminaɾan
8385,determine,determine,dete4mine,VERB,deteɾmine
8386,determinó,determinó,dete4mino,VERB,deteɾmino
8387,detiene,detiene,detjene,VERB,detjene
8388,detienen,detienen,detjenen,VERB,detjenen
8389,detonar,detonar,detona4,VERB,detonaɾ
8390,detractoras,detractoras,det4akto4as,NOUN,detɾaktoɾas
8391,detraerlo,detraerlo,det4ae4lo,VERB,detɾaeɾlo
8392,deudor,deudor,deudo4,NOUN,deudoɾ
8393,deudores,deudores,deudo4es,NOUN,deudoɾes
8394,devaluada,devaluada,debalwada,ADJ,debalwada
8395,devaluado,devaluado,debalwado,ADJ,debalwado
8396,devalúe,devalúe,debalwe,PROPN,debalwe
8397,devasta,devasta,debasta,VERB,debasta
8398,devastación,devastación,debastasion,NOUN,debastasion
8399,devastadas,devastadas,debastadas,ADJ,debastadas
8400,devastado,devastado,debastado,ADJ,debastado
8401,devastador,devastador,debastado4,ADJ,debastadoɾ
8402,devastadora,devastadora,debastado4a,ADJ,debastadoɾa
8403,devastadores,devastadores,debastado4es,ADJ,debastadoɾes
8404,devastados,devastados,debastados,ADJ,debastados
8405,devastaron,devastaron,debasta4on,VERB,debastaɾon
8406,devengo,devengo,debengo,NOUN,debenɡo
8407,devoluciones,devoluciones,debolusiones,NOUN,debolusiones
8408,devolución,devolución,debolusion,NOUN,debolusion
8409,devolvemos,devolvemos,debolbemos,VERB,debolbemos
8410,devolver,devolver,debolbe4,VERB,debolbeɾ
8411,devolverles,devolverles,debolbe4les,VERB,debolbeɾles
8412,devolviendo,devolviendo,debolbjendo,VERB,debolbjendo
8413,devolviéndoles,devolviéndoles,debolbjendoles,VERB,debolbjendoles
8414,devorados,devorados,debo4ados,VERB,deboɾados
8415,devoran,devoran,debo4an,VERB,deboɾan
8416,devuelta,devuelta,debwelta,ADJ,debwelta
8417,devueltas,devueltas,debweltas,ADJ,debweltas
8418,devuelva,devuelva,debwelba,VERB,debwelba
8419,devuelve,devuelve,debwelbe,NOUN,debwelbe
8420,devuelven,devuelven,debwelben,VERB,debwelben
8421,diagnosticado,diagnosticado,djagnostikado,ADJ,djaɡnostikado
8422,diagnostican,diagnostican,djagnostikan,VERB,djaɡnostikan
8423,diagnosticar,diagnosticar,djagnostika4,VERB,djaɡnostikaɾ
8424,diagnóstico,diagnóstico,djagnostiko,NOUN,djaɡnostiko
8425,diagnósticos,diagnósticos,djagnostikos,NOUN,djaɡnostikos
8426,diagonal,diagonal,djagonal,ADJ,djaɡonal
8427,dialecto,dialecto,djalekto,NOUN,djalekto
8428,dialoga,dialoga,djaloga,VERB,djaloɡa
8429,dialogamos,dialogamos,djalogamos,VERB,djaloɡamos
8430,dialogan,dialogan,djalogan,VERB,djaloɡan
8431,dialoguen,dialoguen,djalogen,VERB,djaloɡen
8432,diamante,diamante,djamante,NOUN,djamante
8433,diamantíferas,diamantíferas,djamantife4as,ADJ,djamantifeɾas
8434,diaria,diaria,dja4ja,ADJ,djaɾja
8435,diario,diario,dja4jo,PROPN,djaɾjo
8436,dibujado,dibujado,dibuxado,ADJ,dibuxado
8437,dicha,dicha,ditSa,NOUN,dit͡ʃa
8438,dichas,dichas,ditSas,ADJ,dit͡ʃas
8439,dicha­,dicha,ditSa,NOUN,dit͡ʃa
8440,dicho,dicho,ditSo,VERB,dit͡ʃo
8441,dichos,dichos,ditSos,ADJ,dit͡ʃos
8442,diciéndoles,diciéndoles,disiendoles,VERB,disiendoles
8443,diciéndome,diciéndome,disiendome,VERB,disiendome
8444,dictada,dictada,diktada,ADJ,diktada
8445,dictado,dictado,diktado,NOUN,diktado
8446,dictaminado,dictaminado,diktaminado,VERB,diktaminado
8447,dictan,dictan,diktan,VERB,diktan
8448,dictatorial,dictatorial,diktato4jal,ADJ,diktatoɾjal
8449,dictámenes,dictámenes,diktamenes,NOUN,diktamenes
8450,dictó,dictó,dikto,VERB,dikto
8451,dicálcico,dicálcico,dikalsiko,NOUN,dikalsiko
8452,didáctica,didáctica,didaktika,NOUN,didaktika
8453,diecinueve,diecinueve,djesinwebe,NUM,djesinwebe
8454,diente,diente,djente,NOUN,djente
8455,dientes,dientes,djentes,NOUN,djentes
8456,diese,diese,djese,VERB,djese
8457,diezma,diezma,djesma,NOUN,djesma
8458,difamatoria,difamatoria,difamato4ja,ADJ,difamatoɾja
8459,diferencia,diferencia,dife4ensia,NOUN,difeɾensia
8460,diferenciaciones,diferenciaciones,dife4ensiasiones,NOUN,difeɾensiasiones
8461,diferenciación,diferenciación,dife4ensiasion,NOUN,difeɾensiasion
8462,diferenciada,diferenciada,dife4ensiada,ADJ,difeɾensiada
8463,diferenciados,diferenciados,dife4ensiados,ADJ,difeɾensiados
8464,diferenciales,diferenciales,dife4ensiales,ADJ,difeɾensiales
8465,diferenciamos,diferenciamos,dife4ensiamos,VERB,difeɾensiamos
8466,diferencian,diferencian,dife4ensian,VERB,difeɾensian
8467,diferenciarlas,diferenciarlas,dife4ensia4las,VERB,difeɾensiaɾlas
8468,diferenciarse,diferenciarse,dife4ensia4se,VERB,difeɾensiaɾse
8469,diferenciarán,diferenciarán,dife4ensia4an,VERB,difeɾensiaɾan
8470,diferencias,diferencias,dife4ensias,NOUN,difeɾensias
8471,diferencie,diferencie,dife4ensie,VERB,difeɾensie
8472,diferente,diferente,dife4ente,ADJ,difeɾente
8473,diferimos,diferimos,dife4imos,VERB,difeɾimos
8474,dificuldades,dificuldades,difikuldades,NOUN,difikuldades
8475,dificultadas,dificultadas,difikultadas,NOUN,difikultadas
8476,dificultades,dificultades,difikultades,NOUN,difikultades
8477,dificultamos,dificultamos,difikultamos,VERB,difikultamos
8478,dificultarlo,dificultarlo,difikulta4lo,VERB,difikultaɾlo
8479,dificultará,dificultará,difikulta4a,VERB,difikultaɾa
8480,dificultarán,dificultarán,difikulta4an,VERB,difikultaɾan
8481,dificulte,dificulte,difikulte,VERB,difikulte
8482,dificulten,dificulten,difikulten,VERB,difikulten
8483,dificultoso,dificultoso,difikultoso,ADJ,difikultoso
8484,dificultosos,dificultosos,difikultosos,ADJ,difikultosos
8485,difieran,difieran,difje4an,VERB,difjeɾan
8486,difieren,difieren,difje4en,VERB,difjeɾen
8487,difuminar,difuminar,difumina4,VERB,difuminaɾ
8488,difunden,difunden,difunden,VERB,difunden
8489,difundirlos,difundirlos,difundi4los,VERB,difundiɾlos
8490,difundió,difundió,difundjo,VERB,difundjo
8491,difusa,difusa,difusa,ADJ,difusa
8492,difuso,difuso,difuso,ADJ,difuso
8493,difícil,difícil,difisil,ADJ,difisil
8494,difíciles,difíciles,difisiles,ADJ,difisiles
8495,digan,digan,digan,VERB,diɡan
8496,digital,digital,dixital,ADJ,dixital
8497,digitalización,digitalización,dixitalisasion,NOUN,dixitalisasion
8498,digitalizado,digitalizado,dixitalisado,ADJ,dixitalisado
8499,digital»,digital,dixital,ADJ,dixital
8500,dignas,dignas,dignas,ADJ,diɡnas
8501,dignatarios,dignatarios,dignata4jos,NOUN,diɡnataɾjos
8502,dignidad,dignidad,dignidad,NOUN,diɡnidad
8503,digno,digno,digno,NOUN,diɡno
8504,digresión,digresión,dig4esjon,NOUN,diɡɾesjon
8505,digámoslo,digámoslo,digamoslo,VERB,diɡamoslo
8506,dijeran,dijeran,dixe4an,VERB,dixeɾan
8507,dijeron,dijeron,dixe4on,VERB,dixeɾon
8508,dijimos,dijimos,diximos,VERB,diximos
8509,diktat,diktat,diktat,PROPN,diktat
8510,dilatación,dilatación,dilatasion,NOUN,dilatasion
8511,dilatada,dilatada,dilatada,ADJ,dilatada
8512,dilatadas,dilatadas,dilatadas,ADJ,dilatadas
8513,dilatoria,dilatoria,dilato4ja,ADJ,dilatoɾja
8514,dilemas,dilemas,dilemas,NOUN,dilemas
8515,diligenciados,diligenciados,dilixensiados,VERB,dilixensiados
8516,dilucidada,dilucidada,dilusidada,ADJ,dilusidada
8517,dilucidar,dilucidar,dilusida4,VERB,dilusidaɾ
8518,dilucidarse,dilucidarse,dilusida4se,VERB,dilusidaɾse
8519,diluya,diluya,diluia,VERB,diluia
8520,dimensionados,dimensionados,dimensjonados,NOUN,dimensjonados
8521,dimensionar,dimensionar,dimensjona4,VERB,dimensjonaɾ
8522,diminuto,diminuto,diminuto,ADJ,diminuto
8523,dimisionaria,dimisionaria,dimisjona4ja,NOUN,dimisjonaɾja
8524,dimisión,dimisión,dimisjon,NOUN,dimisjon
8525,dimitido,dimitido,dimitido,VERB,dimitido
8526,dimitiese,dimitiese,dimitjese,VERB,dimitjese
8527,dimitió,dimitió,dimitjo,VERB,dimitjo
8528,dimos,dimos,dimos,VERB,dimos
8529,dinamismo,dinamismo,dinamismo,NOUN,dinamismo
8530,dinamizar,dinamizar,dinamisa4,VERB,dinamisaɾ
8531,dineros,dineros,dine4os,NOUN,dineɾos
8532,dinámico,dinámico,dinamiko,ADJ,dinamiko
8533,dinámicos,dinámicos,dinamikos,ADJ,dinamikos
8534,diplomacia,diplomacia,diplomasia,PROPN,diplomasia
8535,diplomas,diplomas,diplomas,NOUN,diplomas
8536,diplomático,diplomático,diplomatiko,NOUN,diplomatiko
8537,diputadas,diputadas,diputadas,NOUN,diputadas
8538,diques,diques,dikes,NOUN,dikes
8539,direcciones,direcciones,di4eksiones,NOUN,diɾeksiones
8540,dirección,dirección,di4eksion,NOUN,diɾeksion
8541,directa,directa,di4ekta,ADJ,diɾekta
8542,directas,directas,di4ektas,ADJ,diɾektas
8543,directiva,directiva,di4ektiba,NOUN,diɾektiba
8544,directiva-marco,directivamarco,di4ektibama4ko,PROPN,diɾektibamaɾko
8545,directivas,directivas,di4ektibas,NOUN,diɾektibas
8546,directive,directive,di4ektibe,PROPN,diɾektibe
8547,directo,directo,di4ekto,ADJ,diɾekto
8548,directora,directora,di4ekto4a,NOUN,diɾektoɾa
8549,directores,directores,di4ekto4es,NOUN,diɾektoɾes
8550,directorios,directorios,di4ekto4jos,NOUN,diɾektoɾjos
8551,directos,directos,di4ektos,ADJ,diɾektos
8552,directrices,directrices,di4ekt4ises,NOUN,diɾektɾises
8553,directriz,directriz,di4ekt4is,NOUN,diɾektɾis
8554,diremos,diremos,di4emos,VERB,diɾemos
8555,dirige,dirige,di4ixe,VERB,diɾixe
8556,dirigen,dirigen,di4ixen,VERB,diɾixen
8557,dirigentes,dirigentes,di4ixentes,NOUN,diɾixentes
8558,dirigido,dirigido,di4ixido,ADJ,diɾixido
8559,dirigieran,dirigieran,di4ixie4an,VERB,diɾixieɾan
8560,dirigiese,dirigiese,di4ixiese,VERB,diɾixiese
8561,dirigirle,dirigirle,di4ixi4le,VERB,diɾixiɾle
8562,dirigirles,dirigirles,di4ixi4les,VERB,diɾixiɾles
8563,dirigirme,dirigirme,di4ixi4me,VERB,diɾixiɾme
8564,dirigirnos,dirigirnos,di4ixi4nos,VERB,diɾixiɾnos
8565,dirigirá,dirigirá,di4ixi4a,VERB,diɾixiɾa
8566,dirigista,dirigista,di4ixista,NOUN,diɾixista
8567,dirigiéndose,dirigiéndose,di4ixiendose,VERB,diɾixiendose
8568,dirijamos,dirijamos,di4ixamos,VERB,diɾixamos
8569,dirijo,dirijo,di4ixo,VERB,diɾixo
8570,dirimir,dirimir,di4imi4,VERB,diɾimiɾ
8571,dirty,dirty,di4ti,PROPN,diɾti
8572,diría,diría,di4ja,VERB,diɾja
8573,discapacidades,discapacidades,diskapasidades,NOUN,diskapasidades
8574,discapacitada,discapacitada,diskapasitada,NOUN,diskapasitada
8575,discapacitado,discapacitado,diskapasitado,NOUN,diskapasitado
8576,discapacitados,discapacitados,diskapasitados,NOUN,diskapasitados
8577,disciplina,disciplina,dissiplina,NOUN,dissiplina
8578,disciplinado,disciplinado,dissiplinado,ADJ,dissiplinado
8579,disciplinadoras,disciplinadoras,dissiplinado4as,ADJ,dissiplinadoɾas
8580,disciplinaran,disciplinaran,dissiplina4an,VERB,dissiplinaɾan
8581,disco,disco,disko,NOUN,disko
8582,discontinuidad,discontinuidad,diskontinwidad,NOUN,diskontinwidad
8583,discordante,discordante,disko4dante,ADJ,diskoɾdante
8584,discordantes,discordantes,disko4dantes,ADJ,diskoɾdantes
8585,discotecas,discotecas,diskotekas,NOUN,diskotekas
8586,discrecional,discrecional,disk4esional,ADJ,diskɾesional
8587,discrecionales,discrecionales,disk4esionales,ADJ,diskɾesionales
8588,discrepa,discrepa,disk4epa,VERB,diskɾepa
8589,discrepancia,discrepancia,disk4epansia,NOUN,diskɾepansia
8590,discrepar,discrepar,disk4epa4,VERB,diskɾepaɾ
8591,discrepo,discrepo,disk4epo,VERB,diskɾepo
8592,discreto,discreto,disk4eto,ADJ,diskɾeto
8593,discriminaciones,discriminaciones,disk4iminasiones,NOUN,diskɾiminasiones
8594,discriminación,discriminación,disk4iminasion,NOUN,diskɾiminasion
8595,discriminada,discriminada,disk4iminada,ADJ,diskɾiminada
8596,discriminado,discriminado,disk4iminado,ADJ,diskɾiminado
8597,discriminados,discriminados,disk4iminados,ADJ,diskɾiminados
8598,discriminatoria,discriminatoria,disk4iminato4ja,ADJ,diskɾiminatoɾja
8599,discriminatorios,discriminatorios,disk4iminato4jos,ADJ,diskɾiminatoɾjos
8600,discrimine,discrimine,disk4imine,VERB,diskɾimine
8601,disculpan,disculpan,diskulpan,VERB,diskulpan
8602,disculparla,disculparla,diskulpa4la,VERB,diskulpaɾla
8603,disculparse,disculparse,diskulpa4se,VERB,diskulpaɾse
8604,disculparé,disculparé,diskulpa4e,VERB,diskulpaɾe
8605,disculpen,disculpen,diskulpen,VERB,diskulpen
8606,discurre,discurre,diskure,VERB,diskure
8607,discurso,discurso,disku4so,NOUN,diskuɾso
8608,discusión,discusión,diskusjon,NOUN,diskusjon
8609,discutan,discutan,diskutan,VERB,diskutan
8610,discute,discute,diskute,VERB,diskute
8611,discutibles,discutibles,diskutibles,ADJ,diskutibles
8612,discutida,discutida,diskutida,ADJ,diskutida
8613,discutido,discutido,diskutido,ADJ,diskutido
8614,discutiera,discutiera,diskutje4a,VERB,diskutjeɾa
8615,discutieron,discutieron,diskutje4on,VERB,diskutjeɾon
8616,discutirla,discutirla,diskuti4la,VERB,diskutiɾla
8617,discutirlo,discutirlo,diskuti4lo,VERB,diskutiɾlo
8618,discutíamos,discutíamos,diskutjamos,VERB,diskutjamos
8619,discúlpeme,discúlpeme,diskulpeme,ADV,diskulpeme
8620,diseccionado,diseccionado,diseksionado,ADJ,diseksionado
8621,diseminadas,diseminadas,diseminadas,ADJ,diseminadas
8622,disentimos,disentimos,disentimos,VERB,disentimos
8623,diseñada,diseñada,diseJada,ADJ,diseɲada
8624,diseñado,diseñado,diseJado,VERB,diseɲado
8625,diseñadores,diseñadores,diseJado4es,NOUN,diseɲadoɾes
8626,diseñados,diseñados,diseJados,ADJ,diseɲados
8627,diseñan,diseñan,diseJan,VERB,diseɲan
8628,diseñando,diseñando,diseJando,VERB,diseɲando
8629,diseñar,diseñar,diseJa4,VERB,diseɲaɾ
8630,diseñarse,diseñarse,diseJa4se,VERB,diseɲaɾse
8631,diseñarán,diseñarán,diseJa4an,VERB,diseɲaɾan
8632,diseñe,diseñe,diseJe,VERB,diseɲe
8633,diseñen,diseñen,diseJen,VERB,diseɲen
8634,disfruta,disfruta,disf4uta,VERB,disfɾuta
8635,disfrutado,disfrutado,disf4utado,ADJ,disfɾutado
8636,disfrutamos,disfrutamos,disf4utamos,VERB,disfɾutamos
8637,disfrutan,disfrutan,disf4utan,VERB,disfɾutan
8638,disfrutando,disfrutando,disf4utando,VERB,disfɾutando
8639,disfrutara,disfrutara,disf4uta4a,VERB,disfɾutaɾa
8640,disfrutarán,disfrutarán,disf4uta4an,VERB,disfɾutaɾan
8641,disfrutasen,disfrutasen,disf4utasen,VERB,disfɾutasen
8642,disfruten,disfruten,disf4uten,VERB,disfɾuten
8643,disfruto,disfruto,disf4uto,VERB,disfɾuto
8644,disfuncionamientos,disfuncionamientos,disfunsionamjentos,NOUN,disfunsionamjentos
8645,disfunciones,disfunciones,disfunsiones,NOUN,disfunsiones
8646,disfunción,disfunción,disfunsion,NOUN,disfunsion
8647,disgregaciones,disgregaciones,disg4egasiones,NOUN,disɡɾeɡasiones
8648,disgustados,disgustados,disgwstados,ADJ,disɡwstados
8649,disgustará,disgustará,disgwsta4a,VERB,disɡwstaɾa
8650,disiento,disiento,disjento,VERB,disjento
8651,disimula,disimula,disimula,VERB,disimula
8652,disimulador,disimulador,disimulado4,NOUN,disimuladoɾ
8653,disimulan,disimulan,disimulan,VERB,disimulan
8654,disimulando,disimulando,disimulando,VERB,disimulando
8655,disimular,disimular,disimula4,VERB,disimulaɾ
8656,disimularlas,disimularlas,disimula4las,VERB,disimulaɾlas
8657,disintamos,disintamos,disintamos,VERB,disintamos
8658,disipación,disipación,disipasion,NOUN,disipasion
8659,disipadora,disipadora,disipado4a,ADJ,disipadoɾa
8660,disipados,disipados,disipados,ADJ,disipados
8661,disipan,disipan,disipan,VERB,disipan
8662,dislocada,dislocada,dislokada,ADJ,dislokada
8663,disminuciones,disminuciones,disminusiones,NOUN,disminusiones
8664,disminuido,disminuido,disminwido,NOUN,disminwido
8665,disminuimos,disminuimos,disminwimos,VERB,disminwimos
8666,disminuir,disminuir,disminwi4,VERB,disminwiɾ
8667,disminuiremos,disminuiremos,disminwi4emos,VERB,disminwiɾemos
8668,disminuirlo,disminuirlo,disminwi4lo,VERB,disminwiɾlo
8669,disminuiría,disminuiría,disminwi4ja,VERB,disminwiɾja
8670,disminuyendo,disminuyendo,disminuiendo,VERB,disminuiendo
8671,disminuyeron,disminuyeron,disminuie4on,VERB,disminuieɾon
8672,disociarse,disociarse,disosia4se,VERB,disosiaɾse
8673,disolverlos,disolverlos,disolbe4los,VERB,disolbeɾlos
8674,dispara,dispara,dispa4a,VERB,dispaɾa
8675,disparado,disparado,dispa4ado,ADJ,dispaɾado
8676,disparamos,disparamos,dispa4amos,VERB,dispaɾamos
8677,disparar,disparar,dispa4a4,VERB,dispaɾaɾ
8678,disparatado,disparatado,dispa4atado,ADJ,dispaɾatado
8679,disparates,disparates,dispa4ates,NOUN,dispaɾates
8680,disparidad,disparidad,dispa4idad,NOUN,dispaɾidad
8681,disparidades,disparidades,dispa4idades,NOUN,dispaɾidades
8682,dispersarse,dispersarse,dispe4sa4se,VERB,dispeɾsaɾse
8683,dispersas,dispersas,dispe4sas,ADJ,dispeɾsas
8684,dispersiones,dispersiones,dispe4sjones,NOUN,dispeɾsjones
8685,disperso,disperso,dispe4so,ADJ,dispeɾso
8686,disponer,disponer,dispone4,VERB,disponeɾ
8687,disponerse,disponerse,dispone4se,VERB,disponeɾse
8688,dispongamos,dispongamos,dispongamos,VERB,disponɡamos
8689,dispongan,dispongan,dispongan,VERB,disponɡan
8690,disponibilidad,disponibilidad,disponibilidad,NOUN,disponibilidad
8691,disponibilidades,disponibilidades,disponibilidades,NOUN,disponibilidades
8692,disponibles,disponibles,disponibles,ADJ,disponibles
8693,disponiblidad,disponiblidad,disponiblidad,NOUN,disponiblidad
8694,disponiéndose,disponiéndose,disponjendose,VERB,disponjendose
8695,disponíamos,disponíamos,disponjamos,VERB,disponjamos
8696,disponían,disponían,disponjan,VERB,disponjan
8697,disposición»,disposición,disposision,NOUN,disposision
8698,dispositions,dispositions,dispositjons,NOUN,dispositjons
8699,dispositivo,dispositivo,dispositibo,NOUN,dispositibo
8700,dispositivo,dispositivo,dispositibo,NOUN,dispositibo
8701,dispuesto,dispuesto,dispwesto,ADJ,dispwesto
8702,dispusieran,dispusieran,dispusje4an,VERB,dispusjeɾan
8703,dispusiéramos,dispusiéramos,dispusje4amos,VERB,dispusjeɾamos
8704,disputa,disputa,disputa,NOUN,disputa
8705,disputados,disputados,disputados,ADJ,disputados
8706,disputas,disputas,disputas,NOUN,disputas
8707,dispute,dispute,dispute,VERB,dispute
8708,distance,distance,distanse,PROPN,distanse
8709,distancia,distancia,distansia,NOUN,distansia
8710,distanciada,distanciada,distansiada,ADJ,distansiada
8711,distanciamos,distanciamos,distansiamos,VERB,distansiamos
8712,distancian,distancian,distansian,VERB,distansian
8713,distanciar,distanciar,distansia4,VERB,distansiaɾ
8714,distanciarme,distanciarme,distansia4me,VERB,distansiaɾme
8715,distanciarnos,distanciarnos,distansia4nos,VERB,distansiaɾnos
8716,distanciarse,distanciarse,distansia4se,VERB,distansiaɾse
8717,distantes,distantes,distantes,ADJ,distantes
8718,distaron,distaron,dista4on,VERB,distaɾon
8719,distender,distender,distende4,VERB,distendeɾ
8720,distendido,distendido,distendido,ADJ,distendido
8721,distingue,distingue,distinge,VERB,distinɡe
8722,distinguen,distinguen,distingen,VERB,distinɡen
8723,distinguidas,distinguidas,distingidas,ADJ,distinɡidas
8724,distinguido,distinguido,distingido,ADJ,distinɡido
8725,distinguidos,distinguidos,distingidos,ADJ,distinɡidos
8726,distinguimos,distinguimos,distingimos,VERB,distinɡimos
8727,distinguir,distinguir,distingi4,VERB,distinɡiɾ
8728,distinta,distinta,distinta,ADJ,distinta
8729,distintivo,distintivo,distintibo,NOUN,distintibo
8730,distintivos,distintivos,distintibos,NOUN,distintibos
8731,distorsiona,distorsiona,disto4sjona,VERB,distoɾsjona
8732,distorsionada,distorsionada,disto4sjonada,ADJ,distoɾsjonada
8733,distorsionado,distorsionado,disto4sjonado,ADJ,distoɾsjonado
8734,distorsionadora,distorsionadora,disto4sjonado4a,ADJ,distoɾsjonadoɾa
8735,distorsionará,distorsionará,disto4sjona4a,VERB,distoɾsjonaɾa
8736,distorsionen,distorsionen,disto4sjonen,VERB,distoɾsjonen
8737,distorsiones,distorsiones,disto4sjones,NOUN,distoɾsjones
8738,distorsión,distorsión,disto4sjon,NOUN,distoɾsjon
8739,distraer,distraer,dist4ae4,VERB,distɾaeɾ
8740,distraerla,distraerla,dist4ae4la,VERB,distɾaeɾla
8741,distraernos,distraernos,dist4ae4nos,VERB,distɾaeɾnos
8742,distraigamos,distraigamos,dist4aigamos,VERB,distɾaiɡamos
8743,distraída,distraída,dist4aida,ADJ,distɾaida
8744,distribuida,distribuida,dist4ibwida,ADJ,distɾibwida
8745,distribuidas,distribuidas,dist4ibwidas,ADJ,distɾibwidas
8746,distribuidora,distribuidora,dist4ibwido4a,NOUN,distɾibwidoɾa
